VID,"videoInfo.videoError: Descending","Unique count of vid",errors
"117,650",4,1,1
"117,651",4,1,4
"117,655",4,1,1
"117,880",4,1,1
"117,993",4,1,1
"118,004",4,1,1
"118,007",3,1,1
"118,007",4,1,5
"118,037",4,1,1
"118,077",3,1,2
"118,077",4,1,28
"118,078",4,1,3
"118,079",4,1,20
"118,081",4,1,2
"118,082",4,1,1
"118,085",3,1,1
"118,112",3,1,1
"118,112",4,1,1
"118,202",3,1,1
"118,296",4,1,1
"118,320",4,1,1
"118,422",4,1,1
"118,423",4,1,1
"118,430",3,1,1
"118,430",4,1,1
"118,444",3,1,1
"118,444",4,1,1
"118,466",4,1,1
"118,467",4,1,1
"118,501",4,1,1
"118,574",3,1,1
"118,585",4,1,1
"118,609",4,1,1
"118,649",4,1,1
"118,653",4,1,1
"118,692",4,1,2
"118,700",4,1,1
"118,717",4,1,1
"118,742",4,1,3
"118,786",4,1,1
"118,876",3,1,1
"118,878",3,1,1
"118,883",4,1,1
"118,906",4,1,1
"118,922",4,1,1
"118,927",4,1,1
"118,956",4,1,7
"119,028",3,1,1
"119,031",3,1,1
"119,035",3,1,1
"119,044",3,1,1
"119,046",3,1,1
"119,179",4,1,1
"119,268",4,1,1
"119,455",4,1,2
"119,463",4,1,1
"119,469",3,1,2
"119,469",4,1,2
"119,582",4,1,2
"119,634",4,1,6
"119,649",3,1,1
"119,666",4,1,59
"119,718",3,1,1
"119,718",4,1,1
"119,721",3,1,1
"119,767",4,1,1
"119,771",4,1,1
"119,796",4,1,1
"119,815",4,1,24
"119,859",4,1,20
"119,862",3,1,3
"119,901",4,1,1
"119,981",4,1,1
"120,018",4,1,32
"120,064",4,1,1
"120,100",3,1,1
"120,152",3,1,1
"120,154",4,1,1
"120,209",3,1,1
"120,222",3,1,1
"120,249",4,1,1
"120,367",4,1,1
"120,437",4,1,2
"120,446",3,1,1
"120,448",4,1,1
"120,452",4,1,2
"120,531",4,1,1
"120,550",4,1,20
"120,696",3,1,1
"121,032",4,1,1
"121,048",4,1,3
"121,180",4,1,1
"121,202",4,1,1
"121,212",4,1,3
"121,257",4,1,1
"121,284",4,1,1
"121,290",4,1,2
"121,327",4,1,1
"121,388",4,1,12
"121,418",3,1,1
"121,679",4,1,1
"121,699",4,1,1
"121,700",3,1,1
"121,702",4,1,1
"121,704",4,1,1
"121,705",4,1,1
"121,796",4,1,1
"121,814",4,1,1
"121,831",4,1,10
"121,873",3,1,1
"121,873",4,1,1
"121,879",4,1,1
"121,915",4,1,1
"121,945",4,1,2
"121,973",3,1,1
"121,973",4,1,1
"121,999",3,1,1
"121,999",4,1,4
"122,124",3,1,1
"122,245",3,1,2
"122,245",4,1,1
"122,250",4,1,2
"122,252",4,1,2
"122,362",3,1,1
"122,362",4,1,2
"122,431",4,1,1
"122,485",4,1,2
"122,771",3,1,1
"122,878",3,1,1
"122,970",3,1,1
"123,053",4,1,1
"123,069",4,1,2
"123,072",4,1,29
"123,134",3,1,1
"123,301",4,1,1
"123,343",4,1,2
"123,355",4,1,1
"123,545",3,1,1
"123,551",4,1,1
"123,700",4,1,2
"123,836",3,1,1
"123,853",4,1,1
"123,900",3,1,3
"123,912",4,1,1
"124,160",4,1,1
"124,184",3,1,1
"124,184",4,1,1
"124,383",4,1,2
"124,520",4,1,1
"124,521",3,1,1
"124,974",3,1,1
"125,036",4,1,1
"125,067",4,1,1
"125,073",3,1,2
"125,073",4,1,2
"125,129",4,1,1
"125,133",4,1,1
"125,141",4,1,1
"125,145",4,1,3
"125,224",3,1,1
"125,465",4,1,1
"125,551",4,1,3
"125,570",4,1,1
"125,642",4,1,1
"125,751",3,1,1
"125,751",4,1,1
"125,808",3,1,1
"125,848",4,1,1
"125,871",4,1,1
"125,883",3,1,1
"126,006",4,1,2
"126,237",4,1,1
"126,288",4,1,1
"126,311",4,1,1
"126,341",3,1,1
"126,341",4,1,1
"126,420",3,1,1
"126,501",4,1,1
"126,548",4,1,4
"126,572",4,1,1
"126,610",3,1,1
"126,611",3,1,1
"126,626",4,1,1
"126,634",4,1,1
"126,648",4,1,2
"126,840",3,1,1
"126,840",4,1,1
"127,045",4,1,1
"127,163",4,1,1
"127,194",4,1,1
"127,484",3,1,1
"127,498",4,1,1
"127,581",4,1,1
"127,621",4,1,1
"127,623",4,1,1
"127,707",4,1,1
"127,906",3,1,2
"127,911",4,1,1
"128,082",4,1,1
"128,086",4,1,1
"128,401",4,1,1
"128,408",4,1,1
"128,435",3,1,1
"128,458",3,1,1
"128,485",3,1,1
"128,485",4,1,2
"128,743",4,1,1
"128,791",4,1,1
"129,145",4,1,1
"129,225",4,1,1
"129,266",3,1,1
"129,270",4,1,1
"129,334",3,1,1
"129,394",4,1,1
"129,512",4,1,1
"129,528",4,1,1
"129,736",3,1,1
"129,741",3,1,1
"129,997",4,1,1
"130,016",3,1,1
"130,040",3,1,2
"130,129",4,1,1
"130,155",3,1,2
"130,155",4,1,3
"130,240",4,1,1
"130,349",3,1,1
"130,349",4,1,2
"130,354",4,1,1
"130,389",4,1,1
"130,458",3,1,1
"130,698",3,1,1
"130,821",4,1,1
"130,858",4,1,3
"130,981",3,1,1
"131,326",4,1,1
"131,382",3,1,1
"131,570",3,1,1
"131,824",4,1,1
"131,949",3,1,1
"132,001",4,1,1
"132,064",4,1,1
"132,315",3,1,1
"132,364",3,1,1
"132,481",4,1,1
"132,484",3,1,5
"132,484",4,1,22
"132,518",4,1,1
"132,611",3,1,4
"132,611",4,1,2
"132,651",4,1,1
"132,855",3,1,1
"132,867",4,1,1
"133,062",3,1,1
"133,144",3,1,1
"133,151",4,1,1
"133,338",4,1,1
"133,680",3,1,1
"133,719",4,1,1
"134,440",4,1,1
"134,968",4,1,2
"135,203",4,1,1
"135,344",4,1,1
"135,405",4,1,1
"135,431",3,1,1
"135,671",4,1,1
"135,793",4,1,1
"135,924",4,1,2
"135,946",4,1,1
"136,149",4,1,8
"136,914",3,1,1
"137,333",4,1,1
"137,385",4,1,1
"137,387",4,1,3
"137,404",4,1,1
"137,892",4,1,1
"138,082",3,1,2
"138,082",4,1,1
"138,101",3,1,1
"138,277",4,1,1
"139,202",3,1,1
"139,202",4,1,1
"139,485",4,1,1
"139,596",4,1,1
"139,708",4,1,2
"139,777",2,1,1
"139,777",3,1,1
"139,777",4,1,1
"140,499",4,1,1
"140,614",4,1,1
"140,737",4,1,1
"140,922",4,1,1
"141,266",4,1,1
"141,489",3,1,1
"141,632",3,1,1
"141,855",4,1,1
